event,id,pt,eta,phi,momentum,mass
79,	6000113,	106.277,	-0.724071,	2.75945,	135.375,	15
79,	-6000113,	39.1836,	-0.949049,	-0.840334,	58.1947,	15
80,	6000113,	49.8651,	-1.63226,	-1.17785,	132.414,	15
80,	-6000113,	53.2373,	-0.436901,	2.27742,	58.3997,	15
81,	6000113,	62.0208,	1.07418,	-0.233601,	101.378,	15
81,	-6000113,	55.2593,	1.6145,	2.97365,	144.347,	15
82,	6000113,	73.5785,	1.68121,	-1.41308,	204.483,	15
82,	-6000113,	47.4935,	2.87074,	2.99617,	420.476,	15
83,	6000113,	53.6178,	-1.12524,	-1.63853,	91.2984,	15
83,	-6000113,	72.7783,	-0.750625,	2.09701,	94.2623,	15
84,	6000113,	72.1785,	0.200358,	2.85304,	73.6321,	15
84,	-6000113,	67.1539,	-0.372767,	0.907709,	71.8738,	15
85,	6000113,	41.0068,	-1.908,	-0.660966,	141.226,	15
85,	-6000113,	77.7516,	-1.06435,	2.11427,	126.11,	15
86,	6000113,	141.982,	-2.47298,	-1.17016,	847.782,	15
86,	-6000113,	65.4408,	-1.52947,	-1.9598,	158.118,	15
87,	6000113,	104.663,	-0.504747,	-2.15313,	118.281,	15
87,	-6000113,	42.3212,	0.0924323,	-0.107789,	42.5022,	15
88,	6000113,	93.0872,	3.01565,	-0.527624,	951.882,	15
88,	-6000113,	87.4601,	3.40378,	-1.96142,	1316.75,	15
89,	6000113,	32.9292,	-1.92162,	1.62301,	114.897,	15
89,	-6000113,	35.9684,	0.45398,	-0.727396,	39.7391,	15
90,	6000113,	26.1355,	2.42632,	1.4625,	149.044,	15
90,	-6000113,	142.159,	0.771436,	0.710808,	186.599,	15
91,	6000113,	76.979,	-2.20164,	1.39717,	352.198,	15
91,	-6000113,	46.8517,	-1.87474,	-1.48918,	156.31,	15
92,	6000113,	51.1654,	0.939127,	-0.6837,	75.436,	15
92,	-6000113,	70.9051,	-0.687546,	-1.60894,	88.3349,	15
93,	6000113,	27.2696,	2.76128,	0.29623,	216.565,	15
93,	-6000113,	36.5529,	0.258699,	3.11533,	37.7829,	15
94,	6000113,	31.8724,	-0.884268,	2.56993,	45.1669,	15
94,	-6000113,	66.5664,	0.864878,	-1.62662,	93.0539,	15
95,	6000113,	43.3457,	1.04984,	-2.68624,	69.5088,	15
